,name,address,price,rating,amenties
0,SPOT ON BLR2568 Blooms Inn,"3rd cross madiwala extension 1st stage Btm layout bangalore , Bangalore",₹1013,(79 Ratings),"TV, Reception, CCTV Cameras"
1,OYO 13941 NR Suites,"Near Central Silk board, BTM Layout, Bangalore",₹894,,"Hair Dryer, Free Wifi, Power backup"
2,OYO 68624 Sm Suits ,"Near BTM Layout, Maruthi Nagar, Bangalore",₹1269,(51 Ratings),AC
3,Capital O BLR2499 Comfort Delight Hotel ,"India, Bangalore",₹1257,(184 Ratings),"Reception, Public Washroom, Security"
4,OYO 15695 Varcity Comforts,"Near 1st Stage, BTM Layout, Bangalore",₹1014,(566 Ratings),"Elevator, Free Wifi, Geyser"
5,Capital O 66595 Scarlet Suites,"Near Sai Balaji Complex, Bangalore",₹1511,,"Private Entrance, Reception, Cot"
6,OYO 14397 Varcity Phi Pavilion,"Near Market Square Mall, Madiwala, Bangalore",₹1014,(2210 Ratings),"Living Room, Reception, Washing Machine"
7,OYO 11915 Varcity Park,"Near SV Hospitals, Madiwala, Bangalore",₹1308,(1058 Ratings),"Elevator, Free Wifi, Geyser"
8,OYO 10321 Koramangala,"Near Sri Balaji medicals, Zuzuvadi, Bangalore",₹1156,,"Living Room, Washing Machine, Balcony"
9,OYO 71425 Sai Luxuria ,"Near Maruthi Nagara, Bangalore",₹1306,,"Reception, Free Wifi, Power backup"
10,Capital O 5381 The Emirates Hotel,"Near Total Mall, Madiwalla, Bangalore",₹1206,(524 Ratings),"Parking Facility, Free Wifi, Power backup"
11,OYO 79745 My Own Nest,"Bangalore, Bangalore",₹1005,(93 Ratings),"Doctor on Call, Reception, Free Wifi"
12,SPOT ON 80667 S.s.l.n Comforts,"Bangalore Urban, Bangalore",₹657,,"Reception, Caretaker, CCTV Cameras"
13,OYO 79565 Royal Inn & Suites 2,"Karnataka, Bangalore",₹1434,(38 Ratings),"Reception, AC, AC"
14,OYO 11916 Varcity Plaza,"Near Cross Road, Maruti Nagar, Bangalore",₹745,(740 Ratings),"Elevator, Free Wifi, Geyser"
15,SPOT ON 69106 Maruthi Deluxe Lodge,"Near Total Mall, Bangalore",₹917,(7 Ratings),"Window, Reception, Free Wifi"
16,Capital O 78383 Green City Comforts,", Bangalore",₹1754,,"Reception, Card Payment, 24/7 Checkin"
17,Capital O 36457 Boulevard Madiwala,"BTM Layout, Bangalore",₹2169,(1382 Ratings),"Private Entrance, Reception, Free Wifi"
18,Capital O 74657 Nandhana Regent,"Near Koramangala Rto, Bda Complex, Bangalore",₹1318,(574 Ratings),"Cot, AC, Bedside Table / Desk"
19,OYO 67007 Manyu Inn,"Near Vibgyor School, HSR Layout, Bangalore",₹1137,(712 Ratings),"Hair Dryer, Private Entrance, Parking Facility"
20,CAPITAL O 432 Hotel Victoria Heights,"Near St.Philomena's Hospital, Xavier Layout, Bangalore",₹1316,(602 Ratings),"Elevator, Free Wifi, Geyser"
21,SPOT ON 60556 Udupi Residency,"KHB Colony, Koramangala, Bangalore",₹1292,(308 Ratings),"TV, Private Entrance, Reception"
22,Capital O 73831 Spades Inn,"Near koramangala club, Maistripalaya, Bangalore",₹1464,(1009 Ratings),"Parking Facility, Free Wifi, Power backup"
23,OYO 13933 Varcity Pearl,"Near Forum Mall, Koramangala, Bangalore",₹1443,(2078 Ratings),"Elevator, Free Wifi, Geyser"
24,OYO 10522 Varcity Emerald,"Near KEB Colony, BTM Layout 1, Bangalore",₹1018,(877 Ratings),"Reception, Free Wifi, Power backup"
25,CAPITAL O75134 Kings Suits,"Near Itsy Bitsy, Sector 3, Bangalore",₹1181,(625 Ratings),"Parking Facility, Reception, Free Wifi"
26,Collection O 42670 Grand Continent,"Near gopalan cinemas, J.P. Nagar, Bangalore",₹1525,(2018 Ratings),"Private Entrance, Reception, Free Wifi"
27,OYO 78888 Elite Stays JP Nagar New,"JP Nagar 6th Phase, Bangalore",₹1014,(613 Ratings),"Private Entrance, Elevator, Free Wifi"
28,OYO 78310 2BHK Homes near Apollo Hospital.,"Bilekahalli, Bangalore",₹1216,(141 Ratings),"Free Wifi, CCTV Cameras, Power backup"
29,OYO Townhouse 049 HSR Layout,"Near HSR Club, Kadalda Meen, Bangalore",₹1593,(1538 Ratings),"Free Wifi, Power backup, CCTV Cameras"
30,SPOT ON 62943 Fna Hospitality,"Near Popular Colony, Tilak Nagar, Bangalore",₹1300,,"Parking Facility, Reception, Free Wifi"
31,Collection O 77217 Amazing Inn,"Bhuvanappa Layout, Bangalore",₹1510,(319 Ratings),"Parking Facility, Reception, Free Wifi"
32,OYO Townhouse 273 Hosur Main Road Bommanahalli,"Near krishna Theature Bommanahalli, Hosur main road, Bangalore",₹1472,(3412 Ratings),"Parking Facility, Reception, Free Wifi"
33,OYO 63230 Exotica Hotels,"Near Jayadeva Flyover, BTM Layout, Bangalore",₹1022,(740 Ratings),"Private Entrance, Reception, Free Wifi"
34,Capital O 49646 Hotel Champion Paradise,"Near V.E.T School, J.P. Nagar, Bangalore",₹1713,(1017 Ratings),"Parking Facility, Reception, Free Wifi"
35,OYO 12033 Hotel Royal Residence,"Near Narayana Hospital, HSR Layout, Bangalore",₹1453,(229 Ratings),"Elevator, Electric Kettle, Free Wifi"
36,OYO 76781 Emara Boutique Hotel,"Karnataka, Bangalore",₹1369,(244 Ratings),"Doctor on Call, Parking Facility, Reception"
37,OYO 26817 Gks Residency,"Near Jayadeva circel, Vysya Bank Colony, Bangalore",₹1071,,"Reception, Free Wifi, Power backup"
38,OYO 13595 VT Residency,"Near Urvashi Theatre, Sudhama Nagar, Bangalore",₹1513,,"Free Wifi, Power backup, Card Payment"
39,Capital O 62579 Royal Wood Premier,"Centrally Located, Near 1st Stage, Domlur, Bangalore",₹1423,(967 Ratings),"Parking Facility, Free Wifi, Power backup"
